id,name,category,energy_kcal,protein_g,carb_g,fat_g,fiber_g,sodium_mg
30,ovo frito,ovos,196,13.6,0.4,15.3,0.0,207.0
31,leite integral,laticínios,61,3.2,4.5,3.3,0.0,49.0
32,leite desnatado,laticínios,35,3.5,5.1,0.1,0.0,52.0
33,iogurte natural integral,laticínios,66,3.8,5.0,3.6,0.0,47.0
34,iogurte grego,laticínios,115,8.0,3.2,8.0,0.0,60.0
35,queijo mussarela,laticínios,321,22.2,2.4,25.1,0.0,590.0
36,queijo prato,laticínios,358,22.0,1.5,29.5,0.0,490.0
37,queijo coalho,laticínios,347,26.0,3.2,26.0,0.0,680.0
38,requeijão cremoso,laticínios,244,10.5,3.1,21.0,0.0,454.0
39,manteiga,gorduras,748,0.5,0.0,83.5,0.0,576.0
40,azeite de oliva,gorduras,884,0.0,0.0,100.0,0.0,2.0
41,óleo de soja,gorduras,884,0.0,0.0,100.0,0.0,0.0
42,banana nanica,frutas,92,1.3,23.8,0.1,1.9,2.0
43,banana prata,frutas,98,1.3,26.0,0.1,2.0,2.0
44,maçã com casca,frutas,56,0.3,15.2,0.1,1.8,1.0
45,laranja pera,frutas,37,0.9,8.9,0.1,0.8,0.0
46,mamão papaia,frutas,40,0.5,10.4,0.1,1.8,3.0
47,manga,frutas,64,0.9,16.8,0.2,1.8,2.0
48,uva itália,frutas,74,0.6,19.6,0.2,0.9,3.0
49,morango,frutas,30,0.8,7.1,0.3,1.9,1.0
50,melão,frutas,29,0.9,6.9,0.1,0.3,9.0
51,abacate,frutas,96,1.2,6.0,8.4,6.3,4.0
52,kiwi,frutas,61,1.1,14.0,0.5,3.0,3.0
53,tomate,hortaliças,15,0.9,3.1,0.2,1.2,5.0
54,alface lisa,hortaliças,10,1.0,1.4,0.2,1.5,9.0
55,cenoura crua,hortaliças,34,0.7,7.7,0.3,3.2,49.0
56,brócolis cozido,hortaliças,25,2.6,3.6,0.4,2.7,23.0
57,couve refogada,hortaliças,67,3.3,8.0,3.4,2.0,60.0
58,espinafre cozido,hortaliças,19,2.2,2.8,0.4,2.2,100.0
59,chuchu cozido,hortaliças,20,0.8,4.3,0.2,1.4,2.0
60,abobrinha cozida,hortaliças,17,1.0,3.1,0.2,1.2,1.0
61,berinjela cozida,hortaliças,22,0.7,5.0,0.2,2.0,3.0
62,pimentão,hortaliças,20,0.9,4.2,0.2,1.2,1.0
63,cebola crua,hortaliças,39,1.7,8.5,0.1,1.3,4.0
64,alho,hortaliças,149,6.4,32.6,0.5,2.1,17.0
65,café sem açúcar,bebidas,2,0.2,0.3,0.0,0.0,1.0
66,suco de laranja natural,bebidas,47,0.7,10.9,0.2,0.5,1.0
67,suco de uva natural,bebidas,58,0.5,14.2,0.1,0.3,1.0
68,refrigerante cola,bebidas,41,0.0,10.6,0.0,0.0,4.0
69,whey protein concentrado,suplementos,374,70.0,15.0,7.0,0.0,150.0
70,whey protein isolado,suplementos,362,80.0,5.0,2.0,0.0,120.0
71,pasta de amendoim integral,oleaginosas,598,25.0,20.0,50.0,6.5,9.0
72,amendoim torrado,oleaginosas,567,25.8,21.5,47.5,8.0,350.0
73,castanha do pará,oleaginosas,656,14.5,12.3,63.5,7.9,3.0
74,nozes,oleaginosas,620,14.3,13.7,59.4,6.7,2.0
75,granola,cereais,424,8.0,66.0,14.0,5.5,15.0
76,mel,outros,304,0.3,82.4,0.0,0.2,5.0
77,açúcar refinado,outros,387,0.0,99.9,0.0,0.0,1.0
78,farinha de aveia,cereais,394,13.9,67.0,8.5,9.1,4.0
79,farofa de mandioca,cereais,360,2.0,80.0,2.5,4.0,10.0
80,biscoito de polvilho,panificados,492,2.7,66.8,24.8,0.7,690.0
81,creme de leite,laticínios,331,2.1,2.9,35.1,0.0,38.0
82,catupiry,laticínios,280,11.0,3.5,25.0,0.0,640.0
83,presunto,embutidos,115,17.6,1.4,4.5,0.0,990.0
84,salsicha,embutidos,279,11.0,2.2,25.9,0.0,980.0
85,linguiça toscana,embutidos,303,14.0,1.3,27.0,0.0,810.0
